"household_income","deposit","mortgage","interestRate","monthlyCost"
"428628","67360143","69284683","5.69","9090"
"542280","10783526","13218363","5.69","11500"
"567263","86008694","88555705","5.69","12030"
"537213","92804121","95216207","5.69","11392"
"372010","39154053","40824378","5.69","7889"
"135446","29875866","30484019","5.69","2872"
"870549","1418417","5327182","5.69","18461"
"440018","51770350","53746031","5.69","9331"
"270053","96911627","98124165","5.69","5727"
"425413","73537138","75447242","5.69","9022"
"71434","67218265","67539004","5.69","1515"
"694496","42210281","45328568","5.69","14728"
"608366","31443909","34175472","5.69","12901"
"199080","99425874","100319743","5.69","4222"
"474110","23242295","25371049","5.69","10054"
"494444","7951278","10171332","5.69","10485"
"750644","53713176","57083568","5.69","15919"
"931148","50311687","54492542","5.69","19746"
"377181","23069974","24763517","5.69","7999"
"109154","60662673","61152774","5.69","2315"
"312515","760662","2163854","5.69","6627"
"108381","63718108","64204739","5.69","2298"
"691332","58898006","62002087","5.69","14661"
"26963","75919167","76040231","5.69","572"
"118771","63734075","64267357","5.69","2519"
"828984","86526418","90248556","5.69","17580"
"444185","3413200","5407591","5.69","9420"
"695185","23175293","26296674","5.69","14742"
"19738","99207917","99296541","5.69","419"
"607229","88108456","90834914","5.69","12877"
"260081","13557613","14725377","5.69","5515"
"771474","64138835","67602753","5.69","16360"
"966871","4864881","9206132","5.69","20504"
"499376","24510897","26753095","5.69","10590"
"754263","61458846","64845487","5.69","15995"
"126833","61369406","61938886","5.69","2690"
"710780","50989485","54180887","5.69","15073"
"697608","53946731","57078991","5.69","14794"
"904805","2977340","7039914","5.69","19188"
"110217","34775723","35270597","5.69","2337"
"989359","858790","5301012","5.69","20981"
"223227","38851606","39853895","5.69","4734"
"82436","61767617","62137755","5.69","1748"
"165436","99503695","100246503","5.69","3508"
"848479","97670691","101480362","5.69","17993"
"867856","15339290","19235963","5.69","18404"
"145322","36643950","37296446","5.69","3082"
"555239","62083023","64576046","5.69","11775"
"431209","68022829","69958957","5.69","9144"
"403597","37030841","38842992","5.69","8559"
"814978","43769949","47429200","5.69","17283"
"586305","40406247","43038756","5.69","12433"
"327394","80360342","81830341","5.69","6943"
"567066","19586107","22132233","5.69","12025"
"620089","66630352","69414552","5.69","13150"
"85230","75336616","75719299","5.69","1807"
"564933","72171077","74707626","5.69","11980"
"878853","65789992","69736042","5.69","18637"
"984645","7867892","12288948","5.69","20881"
"819701","17270680","20951137","5.69","17383"
"855252","19216158","23056239","5.69","18137"
"644377","9090485","11983738","5.69","13665"
"252863","33106047","34241402","5.69","5362"
"475813","3700511","5836911","5.69","10090"
"897083","71037106","75065009","5.69","19024"
"220945","20253384","21245427","5.69","4685"
"907149","36272486","40345585","5.69","19237"
"704598","15596224","18759869","5.69","14942"
"550587","96850309","99322445","5.69","11676"
"594416","40337132","43006060","5.69","12605"
"303826","77744802","79108981","5.69","6443"
"405682","80980176","82801688","5.69","8603"
"736100","833385","4138474","5.69","15610"
"746746","9345482","12698372","5.69","15836"
"779623","47355094","50855601","5.69","16533"
"135032","96764187","97370481","5.69","2864"
"531907","89663547","92051809","5.69","11280"
"15708","61822929","61893458","5.69","333"
"75383","10736049","11074519","5.69","1599"
"83903","23815514","24192238","5.69","1779"
"97128","60062180","60498285","5.69","2060"
"53245","98857486","99096556","5.69","1129"
"56703","82550179","82804775","5.69","1202"
"97015","55082837","55518434","5.69","2057"
"26401","90293554","90412094","5.69","560"
"81590","56369964","56736303","5.69","1730"
"42337","13004814","13194907","5.69","898"
"98128","69739525","70180120","5.69","2081"
"56190","82739654","82991947","5.69","1192"
"18466","89755456","89838368","5.69","392"
"37911","65540904","65711124","5.69","804"
"79596","79917300","80274686","5.69","1688"
"78074","6823184","7173736","5.69","1656"
"51645","36238816","36470702","5.69","1095"
"13784","64286492","64348382","5.69","292"
"32535","61799254","61945336","5.69","690"
"87399","37309065","37701487","5.69","1853"
"46428","22039727","22248189","5.69","985"
"17883","38527371","38607666","5.69","379"
"12979","34402257","34460533","5.69","275"
"45354","28441158","28644797","5.69","962"
"24586","45289994","45400385","5.69","521"
"28727","14034377","14163361","5.69","609"
"67202","54395776","54697513","5.69","1425"
"75539","28170406","28509576","5.69","1602"
"93549","39848086","40268121","5.69","1984"
"91015","55186046","55594703","5.69","1930"
"76099","35639366","35981051","5.69","1614"
"86034","3605303","3991596","5.69","1824"
"26178","62565968","62683507","5.69","555"
"80871","79865701","80228812","5.69","1715"
"16588","12380292","12454772","5.69","352"
"52220","90307966","90542434","5.69","1107"
"79775","89131741","89489931","5.69","1692"
"23619","1545238","1651287","5.69","501"
"49980","68826144","69050554","5.69","1060"
"47168","33721851","33933635","5.69","1000"
"90333","79597993","80003588","5.69","1916"
"25884","66576717","66692936","5.69","549"
"88553","19018355","19415958","5.69","1878"
"48768","89308029","89526997","5.69","1034"
"79378","41124785","41481192","5.69","1683"
"11014","42535940","null","5.69","8"
"70688","23126817","23444206","5.69","1499"
"56716","50787920","51042575","5.69","1203"
"90582","18670410","19077123","5.69","1921"
"55448","19174224","19423186","5.69","1176"
"17368","89434289","89512271","5.69","368"
"24491","20990471","21100436","5.69","519"
"47050","47677334","47888589","5.69","998"
"18322","73517424","73599690","5.69","389"
"81698","48530839","48897663","5.69","1733"
"16963","35533755","35609919","5.69","360"
"71704","60266790","60588741","5.69","1521"
"52894","26921189","27158683","5.69","1122"
"26261","20797967","20915879","5.69","557"
"52535","40043422","40279304","5.69","1114"
"38754","84114751","84288756","5.69","822"
"35117","41741501","41899176","5.69","745"
"54646","91500588","91745949","5.69","1159"
"84596","91636897","92016733","5.69","1794"
"27450","19524186","19647437","5.69","582"
"69957","82812693","83126800","5.69","1484"
"89850","23616766","24020193","5.69","1905"
"21748","62407614","62505263","5.69","461"
"56555","20874290","21128222","5.69","1199"
"61383","84493346","84768956","5.69","1302"
"12404","76349092","76404786","5.69","263"
"63193","88925583","89209320","5.69","1340"
"44496","58465775","58665562","5.69","944"
"81755","6827449","7194529","5.69","1734"
"14673","19645101","19710983","5.69","311"
"85557","76289798","76673949","5.69","1814"
"89436","85957374","86358942","5.69","1897"
"43427","4607422","4802409","5.69","921"
"10808","5470819","null","5.69","8"
"26596","70469251","70588667","5.69","564"
"58492","51847006","52109635","5.69","1240"
"57304","3341465","3598760","5.69","1215"
"24972","93351412","93463536","5.69","530"
"27330","41841891","41964603","5.69","580"
"16689","73393796","73468730","5.69","354"
"79534","40860176","41217284","5.69","1687"
"24571","56212373","56322697","5.69","521"
"53442","2552242","2792197","5.69","1133"
"79819","6866743","7225130","5.69","1693"
"74718","48264670","48600154","5.69","1585"
"78578","61294308","61647123","5.69","1666"
"90774","63061292","63468867","5.69","1925"
"47797","27349829","27564438","5.69","1014"
"78117","73604305","73955050","5.69","1657"
"76103","9795720","10137422","5.69","1614"
"48714","1213616","1432342","5.69","1033"
"96380","98844409","99277155","5.69","2044"
"55496","69880214","70129391","5.69","1177"
"17988","80055762","80136528","5.69","381"
"61878","78027530","78305362","5.69","1312"
"36964","44409441","44575409","5.69","784"
"36248","14067719","14230473","5.69","769"
"99542","92589336","93036280","5.69","2111"
"37085","66376023","66542535","5.69","786"
"59863","40353545","40622330","5.69","1269"
"42201","75211745","75401227","5.69","895"
"46587","50022524","50231700","5.69","988"
"83327","68406926","68781064","5.69","1767"
"67304","8313989","8616184","5.69","1427"
"18278","52554053","52636121","5.69","388"
"63504","47516625","47801758","5.69","1347"
"73136","47073316","47401697","5.69","1551"
"26161","9556827","9674290","5.69","555"
"30550","86831078","86968248","5.69","648"
"30815","19658876","19797235","5.69","653"
"15673","21875669","21946041","5.69","332"
"76737","24867374","25211923","5.69","1627"
"48165","60051873","60268134","5.69","1021"
"59617","74518374","74786054","5.69","1264"
"10503","75701675","null","5.69","8"
"40120","38302430","38482569","5.69","851"
"54227","95811803","96055282","5.69","1150"
"91415","76587710","76998163","5.69","1939"
"91354","99339429","99749608","5.69","1937"
"32623","51990027","52136504","5.69","692"
"49226","12173983","12395008","5.69","1044"
"76803","50234055","50578900","5.69","1629"
"89099","233238","1000136","5.69","1889"
"52526","663467","899309","5.69","1114"
"15749","350630","421343","5.69","334"
"37079","513685","680170","5.69","786"
"15809","894903","965885","5.69","335"
"26525","752427","871524","5.69","563"
"41466","377345","563527","5.69","879"
"11829","207451","null","5.69","8"
"20014","104279","194142","5.69","424"
"13647","507057","568332","5.69","289"
"46815","600302","810501","5.69","993"
"36174","390459","552880","5.69","767"
"49212","427743","648705","5.69","1044"
"19695","626978","715409","5.69","418"
"22841","409264","511820","5.69","484"
"48635","365675","584046","5.69","1031"
"14738","531243","597417","5.69","313"
"39029","875538","1050778","5.69","828"
"35544","364122","523715","5.69","754"
"32915","545524","693312","5.69","698"
"23006","172434","275731","5.69","488"
"37996","390664","561266","5.69","806"
"17631","139911","219074","5.69","374"
"39052","267946","443289","5.69","828"
"11261","614174","null","5.69","8"
"38775","492764","666864","5.69","822"
"37222","816735","983862","5.69","789"
"39495","518118","695451","5.69","838"
"16064","396697","468824","5.69","341"
"18523","731647","814815","5.69","393"
"36262","504009","666825","5.69","769"
"39545","490595","668152","5.69","839"
"45855","175007","380896","5.69","972"
"27258","437343","559731","5.69","578"
"48131","973781","1189889","5.69","1021"
"18618","132930","216525","5.69","395"
"37618","733284","902189","5.69","798"
"44821","166936","368182","5.69","951"
"21240","556665","652033","5.69","450"
"43149","372454","566193","5.69","915"
"23271","543439","647926","5.69","494"
"23205","768539","872729","5.69","492"
"29596","525265","658151","5.69","628"
"29305","383034","514613","5.69","621"
"28190","989716","1116289","5.69","598"
"34178","621763","775222","5.69","725"
"20773","104366","197637","5.69","441"
"21753","857470","955141","5.69","461"
"16556","119798","194134","5.69","351"
"26734","689051","809087","5.69","567"
"24538","605565","715741","5.69","520"
"15033","340924","408422","5.69","319"
"46531","762972","971896","5.69","987"
"17933","486893","567412","5.69","380"
"20655","108684","201425","5.69","438"
"49486","870084","1092276","5.69","1049"
"31279","703177","843620","5.69","663"
"25069","783500","896060","5.69","532"
"33995","297124","449762","5.69","721"
"27954","556246","681759","5.69","593"
"26483","452484","571393","5.69","562"
"17669","317134","396468","5.69","375"
"35091","884662","1042221","5.69","744"
"48405","105479","543346","5.69","1027"
"47945","181348","396621","5.69","1017"
"20231","908545","999382","5.69","429"
"14539","347062","412342","5.69","308"
"42613","241638","432970","5.69","904"
"48932","531374","751079","5.69","1038"
"12356","706052","761530","5.69","262"
"42674","191397","383003","5.69","905"
"25372","959496","1073416","5.69","538"
"38694","789083","962819","5.69","821"
"48956","898049","1117861","5.69","1038"
"37463","315576","483785","5.69","794"
"36291","734051","896998","5.69","770"
"25982","981315","1097974","5.69","551"
"43146","134404","328130","5.69","915"
"31885","224607","367771","5.69","676"
"32463","384319","530078","5.69","688"
"31408","906348","1047370","5.69","666"
"21734","947393","1044979","5.69","461"
"18930","499230","584226","5.69","401"
"33035","396577","544904","5.69","701"
"20712","995882","1088879","5.69","439"
"18148","373341","454826","5.69","385"
"20236","118774","209634","5.69","429"
"10877","705324","null","5.69","8"
"27330","933579","1056291","5.69","580"
"10299","639022","null","5.69","8"
"44377","582311","781564","5.69","941"
"46059","348706","555511","5.69","977"
"36759","263217","428265","5.69","780"
"25747","854208","969812","5.69","546"
"48558","758881","976906","5.69","1030"
"24091","422094","530263","5.69","511"
"40344","428561","609706","5.69","856"
"45784","498031","703601","5.69","971"
"24058","899548","1007568","5.69","510"
"39240","948222","1124410","5.69","832"
"42947","306891","499723","5.69","911"
"11922","283348","null","5.69","8"
"13082","521501","580239","5.69","277"
"44673","937734","1138316","5.69","947"
"34441","394703","549343","5.69","730"
"37606","903785","1072636","5.69","797"
"45931","618558","824788","5.69","974"
"25922","180160","296550","5.69","550"
"42423","943793","1134272","5.69","900"
"12584","449727","506229","5.69","267"
"30804","407337","545647","5.69","653"
"29951","603510","737990","5.69","635"
"20191","385433","476091","5.69","428"
"32073","234080","378088","5.69","680"
"10467","887016","null","5.69","8"
"10395","216315","null","5.69","8"
"35565","481078","640765","5.69","754"
"27101","957682","1079365","5.69","575"
"42513","836536","1027419","5.69","902"
"21514","423728","520326","5.69","456"
"15315","932173","1000937","5.69","325"
"35962","686005","847474","5.69","763"
"36595","131711","296023","5.69","776"
"47097","639393","850859","5.69","999"
"40744","131228","314169","5.69","864"
"11921","420922","null","5.69","8"
"31179","522736","662730","5.69","661"
"24344","546432","655737","5.69","516"
"18566","504391","587752","5.69","394"
"23082","838024","941662","5.69","489"
"21988","586714","685440","5.69","466"
"30462","792262","929036","5.69","646"
"38393","855928","1028313","5.69","814"
"24824","863719","975179","5.69","526"
"49028","772178","992314","5.69","1040"
"33306","936926","1086470","5.69","706"
"24835","511783","623292","5.69","527"
"44174","276628","474969","5.69","937"
"17423","156177","234406","5.69","369"
"37246","341621","508856","5.69","790"
"37888","388294","558411","5.69","803"
"16897","746163","822031","5.69","358"
"42934","184037","376811","5.69","910"
"31110","792074","931758","5.69","660"
"19429","869445","956681","5.69","412"
"41669","767638","954732","5.69","884"
"41916","490124","678327","5.69","889"
"36357","450426","613669","5.69","771"
"15215","347808","416123","5.69","323"
"33929","692881","845222","5.69","720"
"22618","730069","831624","5.69","480"
"39593","357183","534956","5.69","840"
"17322","785526","863302","5.69","367"
"23245","832614","936984","5.69","493"
"29090","555802","686416","5.69","617"
"38482","805943","978727","5.69","816"
"22819","319857","422314","5.69","484"
"43356","368641","563309","5.69","919"
"49719","866417","1089655","5.69","1054"
"35671","503834","663997","5.69","756"
"16719","165085","240153","5.69","355"
"13247","312624","372103","5.69","281"
"43817","804274","1001012","5.69","929"
"14698","822917","888911","5.69","312"
"16091","609007","681256","5.69","341"
"10706","629817","null","5.69","8"
"36833","147280","312660","5.69","781"
"39184","358471","534407","5.69","831"
"34075","170531","323528","5.69","723"
"21743","244137","341763","5.69","461"
"14497","770929","836021","5.69","307"
"12533","775149","831422","5.69","266"
"23807","286819","393712","5.69","505"
"25124","575725","688532","5.69","533"
"35350","927357","1086079","5.69","750"
"16284","306452","379567","5.69","345"
"23102","273752","377480","5.69","490"
"41625","919494","1106390","5.69","883"
"14386","867406","931999","5.69","305"
"43483","219998","415237","5.69","922"
"35293","292924","451390","5.69","748"
"19207","681857","768096","5.69","407"
"43525","177976","373403","5.69","923"
"25660","614949","730162","5.69","544"
"33937","752586","904963","5.69","720"
"44805","314360","515534","5.69","950"
"10930","692469","null","5.69","8"
"38039","327223","498018","5.69","807"
"43785","892246","1088841","5.69","929"
"28283","493064","620055","5.69","600"
"27123","592135","713917","5.69","575"
"45099","838045","1040540","5.69","956"
"37295","858434","1025889","5.69","791"
"35997","281241","442868","5.69","763"
"39378","808830","985637","5.69","835"
"27947","682733","808215","5.69","593"
"23101","463489","567212","5.69","490"
"45135","645515","848171","5.69","957"
"38262","545219","717015","5.69","811"
"33312","953801","1103372","5.69","706"
"28756","907607","1036721","5.69","610"
"31828","122130","265038","5.69","675"
"11401","372948","null","5.69","8"
"39218","172989","349078","5.69","832"
"43951","711490","908830","5.69","932"
"21197","139546","234721","5.69","450"
"30766","391340","529479","5.69","652"
"38199","549164","720678","5.69","810"
"21060","217014","311573","5.69","447"
"13059","126913","185548","5.69","277"
"47209","164081","376049","5.69","1001"
"39230","436471","612614","5.69","832"
"13219","651195","710548","5.69","280"
"19564","872081","959923","5.69","415"
"28562","309347","437590","5.69","606"
"42287","239175","429044","5.69","897"
"32343","937964","1083184","5.69","686"
"16279","301380","374473","5.69","345"
"42946","521998","714826","5.69","911"
"27780","820402","945134","5.69","589"
"12336","116828","172217","5.69","262"
"47895","222615","437664","5.69","1016"
"27765","763940","888605","5.69","589"
"30867","885112","1023705","5.69","655"
"28118","922401","1048651","5.69","596"
"28058","276891","402871","5.69","595"
"14067","326134","389295","5.69","298"
"42706","218990","410740","5.69","906"
"23082","892208","995846","5.69","489"
"47194","120118","529753","5.69","1001"
"25787","750946","866730","5.69","547"
"35439","428765","587886","5.69","752"
"44985","313639","515622","5.69","954"
"28411","563090","690655","5.69","603"
"29256","312500","443859","5.69","620"
"24590","778755","889164","5.69","521"
"26603","558509","677956","5.69","564"
"20751","375142","468314","5.69","440"
"37195","353740","520746","5.69","789"
"22254","233940","333860","5.69","472"
"34346","798527","952741","5.69","728"
"48997","909113","1129110","5.69","1039"
"33885","602922","755066","5.69","719"
"49558","865350","1087865","5.69","1051"
"46150","189823","397037","5.69","979"
"46132","733315","940448","5.69","978"
"43135","958547","1152223","5.69","915"
"43584","528358","724050","5.69","924"
"29500","435637","568092","5.69","626"
"36787","486729","651903","5.69","780"
"25894","105741","222005","5.69","549"
"11522","210166","null","5.69","8"
"36650","946661","1111220","5.69","777"
"18851","196787","281428","5.69","400"
"30025","666406","801218","5.69","637"
"34117","161120","314305","5.69","724"
"45168","836643","1039447","5.69","958"
"18097","311347","392603","5.69","384"
"15708","222775","293304","5.69","333"
"42074","954085","1142997","5.69","892"
"37642","413875","582888","5.69","798"
"18322","742943","825209","5.69","389"
"28448","423769","551501","5.69","603"
"27684","447585","571886","5.69","587"
"42427","241900","432397","5.69","900"
"20335","821261","912565","5.69","431"
"30085","522616","657698","5.69","638"
"12465","406440","462408","5.69","264"
"22629","624820","726424","5.69","480"
"32595","906639","1052991","5.69","691"
"27469","283548","406884","5.69","583"
"35364","685800","844584","5.69","750"
"33774","290683","442328","5.69","716"
"25075","184059","296646","5.69","532"
"35593","791822","951635","5.69","755"
"29112","115673","246386","5.69","617"
"12411","180442","236167","5.69","263"
"40582","184830","367043","5.69","861"
"27115","820876","942622","5.69","575"
"44759","979849","1180817","5.69","949"
"42618","195080","386435","5.69","904"
"31685","971153","1113419","5.69","672"
"33483","894272","1044611","5.69","710"
"27906","914750","1040048","5.69","592"
"23179","684881","788955","5.69","492"
"14494","524696","589774","5.69","307"
"10826","188554","null","5.69","8"
"27966","947860","1073427","5.69","593"
"38904","239534","414213","5.69","825"
"18852","646847","731492","5.69","400"
"43469","686870","882046","5.69","922"
"22824","479129","581609","5.69","484"
"48927","625933","845615","5.69","1038"
"33151","360042","508890","5.69","703"
"28079","123840","249915","5.69","595"
"35442","189250","348385","5.69","752"
"36002","490821","652470","5.69","763"
"41159","132903","317707","5.69","873"
"12502","935334","991468","5.69","265"
"12333","359586","414961","5.69","262"
"32979","193657","341733","5.69","699"
"36434","459840","623429","5.69","773"
"37292","848613","1016054","5.69","791"
"31960","961910","1105410","5.69","678"
"36009","958068","1119748","5.69","764"
"37756","882558","1052082","5.69","801"
"37844","411797","581717","5.69","803"
"26402","967660","1086205","5.69","560"
"11762","862244","null","5.69","8"
"27604","888167","1012109","5.69","585"
"17105","482989","559790","5.69","363"
"23605","344931","450917","5.69","501"
"29859","280496","414563","5.69","633"
"40699","492208","674947","5.69","863"
"29183","502102","633134","5.69","619"
"44309","780292","979239","5.69","940"
"27497","116517","239979","5.69","583"
"42274","652110","841920","5.69","896"
"18337","950809","1033142","5.69","389"
"47124","465998","677585","5.69","999"
"31554","332068","473745","5.69","669"
"26463","758430","877249","5.69","561"
"36746","966888","1131878","5.69","779"
"30977","162383","301470","5.69","657"
"15342","540724","609610","5.69","325"
"30615","565547","703008","5.69","649"
"16819","133379","208896","5.69","357"
"38950","586295","761181","5.69","826"
"33760","855262","1006844","5.69","716"
"43346","907834","1102458","5.69","919"
"39871","243425","422446","5.69","846"
"49935","961068","1185276","5.69","1059"
"16562","560642","635005","5.69","351"
"15832","618303","689389","5.69","336"
"18543","807092","890350","5.69","393"
"19481","360636","448106","5.69","413"
"35386","474005","632888","5.69","750"
"15691","515921","586374","5.69","333"
"44641","790926","991364","5.69","947"
"24939","186387","298363","5.69","529"
"18679","888234","972103","5.69","396"
"26237","619968","737772","5.69","556"
"38441","729263","901863","5.69","815"
"21576","624267","721143","5.69","458"
"15501","397846","467445","5.69","329"
"42644","412235","603707","5.69","904"
"27127","413712","535512","5.69","575"
"48875","517777","737226","5.69","1036"
"18356","570463","652881","5.69","389"
"20575","153952","246334","5.69","436"
"28491","467433","595358","5.69","604"
"31973","661737","805296","5.69","678"
"18980","495167","580387","5.69","403"
"42569","656944","848079","5.69","903"
"10034","943137","null","5.69","8"
"38265","555840","727650","5.69","811"
"16868","313870","389607","5.69","358"
"14932","757741","824786","5.69","317"
"41673","945094","1132206","5.69","884"
"42065","299774","488646","5.69","892"
"23537","535149","640830","5.69","499"
"28934","808545","938459","5.69","614"
"34882","467764","624384","5.69","740"
"15455","988749","1058142","5.69","328"
"25928","310721","427138","5.69","550"
"40470","969453","1151163","5.69","858"
"38077","399704","570670","5.69","807"
"18743","352153","436309","5.69","397"
"23625","567692","673768","5.69","501"
"25392","154168","268178","5.69","538"
"46742","443431","653303","5.69","991"
"21859","586067","684214","5.69","464"
"24189","825663","934272","5.69","513"
"45674","156367","361443","5.69","969"
"15657","617788","688088","5.69","332"
"30259","990535","1126398","5.69","642"
"10414","547657","null","5.69","8"
"42082","478127","667075","5.69","892"
"18916","319705","404638","5.69","401"
"15910","332607","404043","5.69","337"
"48043","945069","1160782","5.69","1019"
"25484","455737","570160","5.69","540"
"28642","523115","651718","5.69","607"
"15159","857894","925958","5.69","321"
"21916","207361","305764","5.69","465"
"34222","371569","525226","5.69","726"
"19090","770198","855912","5.69","405"
"22828","735340","837838","5.69","484"
"24528","674556","784687","5.69","520"
"31823","370103","512988","5.69","675"
"28785","377766","507011","5.69","610"
"17766","147860","227629","5.69","377"
"19707","739993","828477","5.69","418"
"14156","758133","821693","5.69","300"
"27289","746026","868554","5.69","579"
"25282","771055","884571","5.69","536"
"15501","711349","780948","5.69","329"
"44252","493085","691776","5.69","938"
"13361","361002","420993","5.69","283"
"47292","330851","543192","5.69","1003"
"43121","303652","497265","5.69","914"
"43030","838911","1032116","5.69","913"
"38930","815914","990710","5.69","826"
"24841","523665","635201","5.69","527"
"25597","367149","482080","5.69","543"
"37202","123849","290886","5.69","789"
"37475","898137","1066400","5.69","795"
"13447","139939","200316","5.69","285"
"13727","654958","716592","5.69","291"
"42941","487662","680467","5.69","911"
"48327","965057","1182045","5.69","1025"
"48073","124613","539619","5.69","1019"
"19433","651649","738903","5.69","412"
"31835","827329","970268","5.69","675"
"31766","769381","912010","5.69","674"
"18309","563058","645265","5.69","388"
"11167","570552","null","5.69","8"
"21598","587430","684405","5.69","458"
"28537","240549","368680","5.69","605"
"15210","315843","384136","5.69","323"
"30782","159170","297381","5.69","653"
"30932","479881","618766","5.69","656"
"27086","711800","833416","5.69","574"
"21829","654129","752141","5.69","463"
"33008","931701","1079907","5.69","700"
"33752","202049","353595","5.69","716"
"10165","447105","null","5.69","8"
"11969","716226","null","5.69","8"
"22859","355193","457830","5.69","485"
"43342","851961","1046567","5.69","919"
"11517","717276","null","5.69","8"
"23379","553472","658444","5.69","496"
"20572","523472","615840","5.69","436"
"44486","768830","968572","5.69","943"
"48345","913699","1130768","5.69","1025"
"36579","461772","626012","5.69","776"
"13443","692606","752965","5.69","285"
"10469","287422","null","5.69","8"
"33134","988255","1137027","5.69","703"
"43895","556779","753868","5.69","931"
"17522","802266","880940","5.69","372"
"37540","774800","943355","5.69","796"
"20755","140523","233713","5.69","440"
"21329","894801","990568","5.69","452"
"19325","652840","739609","5.69","410"
"25233","427506","540802","5.69","535"
"10635","833541","null","5.69","8"
"22459","210598","311439","5.69","476"
"12230","517501","572414","5.69","259"
"11715","574168","null","5.69","8"
"20922","360181","454121","5.69","444"
"24563","476400","586688","5.69","521"
"49787","943981","1167525","5.69","1056"
"12873","849917","907717","5.69","273"
"14652","113700","179487","5.69","311"
"19202","122483","208700","5.69","407"
"47406","922418","1135271","5.69","1005"
"22217","144658","244412","5.69","471"
"21799","950901","1048779","5.69","462"
"39938","628208","807530","5.69","847"
"17336","298767","376606","5.69","368"
"14523","164988","230196","5.69","308"
"40353","432436","613621","5.69","856"
"18681","829225","913103","5.69","396"
"39855","122934","301883","5.69","845"
"41316","400178","585687","5.69","876"
"42414","455239","645678","5.69","899"
"27628","952678","1076728","5.69","586"
"40410","822347","1003788","5.69","857"
"13214","376045","435376","5.69","280"
"42014","791727","980370","5.69","891"
"25473","645157","759531","5.69","540"
"18864","668188","752887","5.69","400"
"28220","850019","976727","5.69","598"
"12548","283360","339701","5.69","266"
"14202","257000","320767","5.69","301"
"20304","641644","732809","5.69","431"
"29558","154286","287001","5.69","627"
"47812","373238","587914","5.69","1014"
"48085","251310","467212","5.69","1020"
"38279","672237","844110","5.69","812"
"36528","671766","835777","5.69","775"
"47645","482798","696724","5.69","1010"
"28752","180990","310086","5.69","610"
"19323","935193","1021953","5.69","410"
"19089","539813","625523","5.69","405"
"36216","806730","969340","5.69","768"
"30365","988185","1124524","5.69","644"
"48961","912540","1132375","5.69","1038"
"32026","504689","648486","5.69","679"
"40509","559898","741783","5.69","859"
"46414","273073","481472","5.69","984"
"28781","318882","448109","5.69","610"
"25994","716402","833115","5.69","551"
"41196","170714","355684","5.69","874"
"19137","863907","949832","5.69","406"
"13132","402040","461003","5.69","278"
"43905","332555","529688","5.69","931"
"44944","329535","531334","5.69","953"
"33795","153250","304990","5.69","717"
"38249","165211","336949","5.69","811"
"35344","364560","523255","5.69","750"
"20224","838692","929498","5.69","429"
"44894","866236","1067810","5.69","952"
"35979","297820","459366","5.69","763"
"49120","425867","646416","5.69","1042"
"48758","497480","716403","5.69","1034"
"30319","575379","711511","5.69","643"
"39335","699042","875656","5.69","834"
"47942","520794","736054","5.69","1017"
"25517","980167","1094738","5.69","541"
"12436","439393","495231","5.69","264"
"13678","259430","320844","5.69","290"
"27088","277237","398862","5.69","574"
"46828","107229","525644","5.69","993"
"48262","315942","532638","5.69","1023"
"21616","175547","272603","5.69","458"
"24947","153154","265166","5.69","529"
"25076","232626","345217","5.69","532"
"41079","719335","903780","5.69","871"
"19211","190670","276927","5.69","407"
"23330","451760","556512","5.69","495"
"16716","684213","759268","5.69","354"
"10933","934784","null","5.69","8"
"32673","723599","870301","5.69","693"
"13960","606688","669368","5.69","296"
"18702","392793","476765","5.69","397"
"33347","556553","706281","5.69","707"
"21548","563027","659778","5.69","457"
"48417","808586","1025978","5.69","1027"
"34388","708423","862825","5.69","729"
"22875","125839","228548","5.69","485"
"44632","755488","955886","5.69","946"
"19509","165321","252916","5.69","414"
"44406","293905","493288","5.69","942"
"10662","363638","null","5.69","8"
"17611","211179","290252","5.69","373"
"30697","737586","875416","5.69","651"
"34652","680981","836568","5.69","735"
"49314","895825","1117245","5.69","1046"
"36003","648091","809744","5.69","764"
"46988","177740","388716","5.69","996"
"44117","293378","491463","5.69","936"
"17846","741309","821438","5.69","378"
"42481","913760","1104500","5.69","901"
"49039","326198","546383","5.69","1040"
"46649","412183","621637","5.69","989"
"26085","381340","498462","5.69","553"
"11673","752494","null","5.69","8"
"45021","853887","1056031","5.69","955"
"49796","594901","818485","5.69","1056"
"22113","102214","201501","5.69","469"
"48087","516317","732228","5.69","1020"
"11835","354033","null","5.69","8"
"11345","872638","null","5.69","8"
"34822","988416","1144767","5.69","738"
"13327","214527","274365","5.69","283"
"14763","239810","306096","5.69","313"
"42609","169945","361259","5.69","904"
"42687","410509","602174","5.69","905"
"25245","654107","767457","5.69","535"
"49791","553682","777244","5.69","1056"
"34276","670701","824600","5.69","727"
"13962","454879","517568","5.69","296"
"19502","339107","426671","5.69","414"
"47229","762923","974981","5.69","1002"
"49251","695173","916310","5.69","1044"
"30138","822138","957458","5.69","639"
"34719","224390","380278","5.69","736"
"39779","458314","636922","5.69","844"
"38928","494591","669378","5.69","826"
"41602","230111","416904","5.69","882"
"47191","616596","828484","5.69","1001"
"21098","829894","924624","5.69","447"
"41674","223119","410235","5.69","884"
"49978","244804","469205","5.69","1060"
"39266","982749","1159053","5.69","833"
"49604","846695","1069417","5.69","1052"
"42240","965630","1155288","5.69","896"
